Alternativa;Bar;Sex/Sab;Faminto;Pessoas;Preço;Chuva;Reserva;Tipo;Estimativa;Espera
aSim;bNão;sNão;fSim;Algumas;Caro;cNão;rSim;Francês;0-10;Sim
aSim;bNão;sNão;fSim;Cheio;Barato;cNão;rNão;Tailandês;30-60;Não
aNão;bSim;sNão;fNão;Algumas;Barato;cNão;rNão;Hamburguer;0-10;Sim
aSim;bNão;sSim;fSim;Cheio;Barato;cSim;rNão;Tailandês;10-30;Sim
aSim;bNão;sSim;fNão;Cheio;Caro;cNão;rSim;Francês;>60;Não
aNão;bSim;sNão;fSim;Algumas;Médio;cSim;rSim;Italiano;0-10;Sim
aNão;bSim;sNão;fNão;Nenhuma;Barato;cSim;rNão;Hamburguer;0-10;Não
aNão;bNão;sNão;fSim;Algumas;Médio;cSim;rSim;Tailandês;0-10;Sim
aNão;bSim;sSim;fNão;Cheio;Barato;cSim;rNão;Hamburguer;>60;Não
aSim;bSim;sSim;fSim;Cheio;Caro;cNão;rSim;Italiano;10-30;Não
aNão;bNão;sNão;fNão;Nenhuma;Barato;cNão;rNão;Tailandês;0-10;Não
aSim;bSim;sSim;fSim;Cheio;Barato;cNão;rNão;Hamburguer;30-60;Sim
